source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;SDS-3006-2GTXSFP-T;Доступно к заказу SDS-3006-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6163434 MOXA Сравнить В закладки 1 044.32 $ 87 929.13 ₽;6163434;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3010-2GTXSFP;В пути SDS-3010-2GTXSFP Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6163473 MOXA Сравнить В закладки 1 045.54 $ 88 031.85 ₽;6163473;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3010-2GTXSFP-T;Доступно к заказу SDS-3010-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6163484 MOXA Сравнить В закладки 1 175.47 $ 98 971.64 ₽;6163484;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3006;Доступно к заказу SDS-G3006 Конфигурируемый Ethernet-коммутатор с 6 портами 10/100/1000BaseT(X) 6163530 MOXA Сравнить В закладки 703.33 $ 59 218.63 ₽;6163530;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3006-T;Доступно к заказу SDS-G3006-T Конфигурируемый Ethernet-коммутатор с 6 портами 10/100/1000BaseT(X), с расширенным диапазоном температур 6163533 MOXA Сравнить В закладки 833.87 $ 70 209.77 ₽;6163533;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3006-2GTXSFP;Доступно к заказу SDS-G3006-2GTXSFP Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6163535 MOXA Сравнить В закладки 1 019.92 $ 85 874.71 ₽;6163535;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3006-2GTXSFP-T;Доступно к заказу SDS-G3006-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6163536 MOXA Сравнить В закладки 1 150.46 $ 96 865.86 ₽;6163536;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3008;В пути SDS-G3008 Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) 6163537 MOXA Сравнить В закладки 833.87 $ 70 209.77 ₽;6163537;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3008-T;Доступно к заказу SDS-G3008-T Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X), с расширенным диапазоном температур 6163539 MOXA Сравнить В закладки 966.85 $ 81 406.35 ₽;6163539;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3016;Доступно к заказу SDS-G3016 Конфигурируемый Ethernet-коммутатор с 16 портами 10/100/1000BaseT(X) 6163540 MOXA Сравнить В закладки 1 290.15 $ 108 627.40 ₽;6163540;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
