source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;Коммутатор SDS-3006-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6163434;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3006-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-3010-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6163473;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3010-2gtxsfp/
nnz-ipc.ru;Коммутатор SDS-3010-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6163484;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3010-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-G3006;Конфигурируемый Ethernet-коммутатор с 6 портами 10/100/1000BaseT(X);6163530;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006/
nnz-ipc.ru;Коммутатор SDS-G3006-T;Конфигурируемый Ethernet-коммутатор с 6 портами 10/100/1000BaseT(X), с расширенным диапазоном температур;6163533;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006-t/
nnz-ipc.ru;Коммутатор SDS-G3006-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6163535;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006-2gtxsfp/
nnz-ipc.ru;Коммутатор SDS-G3006-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6163536;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-G3008;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X);6163537;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3008/
nnz-ipc.ru;Коммутатор SDS-G3008-T;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X), с расширенным диапазоном температур;6163539;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3008-t/
nnz-ipc.ru;Коммутатор SDS-G3016;Конфигурируемый Ethernet-коммутатор с 16 портами 10/100/1000BaseT(X);6163540;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3016/
