name;article;product_code;availability;image
IS-E1805-BPOB2 - Индуктивный датчик М18, 5 мм, PNP NO, заподлицо;IS-E1805-BPOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1805-BPCB2 - Индуктивный датчик М18, 5 мм, PNP NC, заподлицо;IS-E1805-BPCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1805-BNOB2 - Индуктивный датчик М18, 5 мм, NPN NO, заподлицо;IS-E1805-BNOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1805-BNCB2 - Индуктивный датчик М18, 5 мм, NPN NC, заподлицо;IS-E1805-BNCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1204-BPOB2 - Индуктивный датчик М12, 4 мм, PNP NO, заподлицо;IS-E1204-BPOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1204-BPCB2 - Индуктивный датчик М12, 4 мм, PNP NC, заподлицо;IS-E1204-BPCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1204-BNOB2 - Индуктивный датчик М12, 4 мм, NPN NO, заподлицо;IS-E1204-BNOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1204-BNCB2 - Индуктивный датчик М12, 4 мм, NPN NC, заподлицо;IS-E1204-BNCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1202-BPOB2 - Индуктивный датчик М12, 2 мм, PNP NO, заподлицо;IS-E1202-BPOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1202-BPCB2 - Индуктивный датчик М12, 2 мм, PNP NC, заподлицо;IS-E1202-BPCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1202-BNOB2 - Индуктивный датчик М12, 2 мм, NPN NO, заподлицо;IS-E1202-BNOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-E1202-BNCB2 - Индуктивный датчик М12, 2 мм, NPN NC, заподлицо;IS-E1202-BNCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPB10P-P Измеритель-преобразователь давления -100~1000 кПа;DPB10P-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPB10N-P Измеритель-преобразователь давления -100~1000 кПа;DPB10N-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPB01P-P Измеритель-преобразователь давления -100~100 кПа;DPB01P-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPB01N-P Измеритель-преобразователь давления -100~100 кПа;DPB01N-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA10NR-P Измеритель-преобразователь давления -100~1000 кПа;DPA10NR-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA10N-N Измеритель-преобразователь давления -100~1000 кПа;DPA10N-N;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA10M-P Измеритель-преобразователь давления -100~1000 кПа;DPA10M-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA01P-P Измеритель-преобразователь давления - 100~100 кПа;DPA01P-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA01NR-P Измеритель-преобразователь давления -100~100 кПа;DPA01NR-P;DPA01NR-P;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA01N-P Измеритель-преобразователь давления -100~100 кПа;DPA01N-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA01M-P Измеритель-преобразователь давления -100~100 кПа;DPA01M-P;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
UC-S050088 Кабель соединительный 8 жил, разъём М8, длина 5,0 м;UC-S050088;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
UC-S030088 Кабель соединительный 8 жил, разъём М8, длина 3,0 м;UC-S030088;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
UC-S015088 Кабель соединительный 8 жил, разъём М8, длина 1,5 м;UC-S015088;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
LD-150N-C2B - Датчик смещения, 150мм +/- 60мм, макс. точность 15 мкм, Modbus RS485, 1DI/1DO, 24 VDC;LD-150N-C2B;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
LD-080N-C2B - Датчик смещения, 80 мм +/- 25 мм, макс. точность 5 мкм, Modbus RS485, 1DI/1DO, 24 VDC;LD-080N-C2B;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
LD-040N-C2B - Датчик смещения, 40 мм +/- 10 мм, макс. точность 2 мкм, Modbus RS485, 1DI/1DO, 24 VDC;LD-040N-C2B;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES5-10CN8965 - Инкрементальный энкодер 1000 имп/об, открытый коллектор;ES5-10CN8965;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-25VN6942 - Инкрементальный энкодер с цельным валом;ES3-25VN6942;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-11LG6941 - Инкрементальный энкодер с цельным валом;ES3-11LG6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-11LG6841 - Инкрементальный энкодер с цельным валом;ES3-11LG6841;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-11CG6941 - Инкрементальный энкодер с цельным валом;ES3-11CG6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-10LG6841 - Инкрементальный энкодер с цельным валом;ES3-10LG6841;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-0CCN6941 - Инкрементальный энкодер с цельным валом;ES3-0CCN6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-0CCG6941 - Инкрементальный энкодер с цельным валом;ES3-0CCG6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-06CN6941 - Инкрементальный энкодер с цельным валом;ES3-06CN6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-02LG6541 - Инкрементальный энкодер с цельным валом;ES3-02LG6541;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-02CN6941 - Инкрементальный энкодер с цельным валом;ES3-02CN6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
ES3-01CN6941 - Инкрементальный энкодер с цельным валом;ES3-01CN6941;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH5-25LG8945 - Инкрементальный энкодер 2500имп/об, линейный выход, ABZ gated, D вала=8мм, 7-24В DC;EH5-25LG8945;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH5-10CG8942 - Инкрементальный энкодер с полым валом (1000имп/об, ABZ gated, D вала=8мм, 7-24В DC);EH5-10CG8942;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH3-25LG8845 - Инкрементальный энкодер с полым валом (2500имп, лин.др, строб, 12В);EH3-25LG8845;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH3-11LG8841 - Инкрементальный энкодер с полым валом (1024имп, лин.др, строб, 12В);EH3-11LG8841;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH3-10LG8845 - Инкрементальный энкодер с полым валом (1000имп, лин.др, строб, 12В);EH3-10LG8845;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
EH3-10CG8942 - Инкрементальный энкодер с полым валом (1000имп, отк.кол,вых.A,B,Z(стр.), 24В;EH3-10CG8942;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA-PFKIT Крепежное приспособление для щитового монтажа;DPA-PFKIT;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA-FMKIT Крепежное приспособление для внутреннего монтажа;DPA-FMKIT;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
DPA-FPCKIT Прозрачная защитная крышка;DPA-FPCKIT;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-MR9-US22 - Фотодатчик диффузный, S=1 м, регулируемая чувствительность, L/D, Push-Pull, кабель 2 м;PS-MR9-US22;PS-MR9-US22;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-MR3-US22 Фотодатчик диффузный, S=300 мм;PS-MR3-US22;PS-MR3-US22;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-ML4-NS22 Фотодатчик рефлекторный, S=4.2 м;PS-ML4-NS22;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FT3-PLB2 Фотодатчик барьерный, S=1 м, PNP, Light-ON, 2 м;PS-FT3-PLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FT3-PDB2 Фотодатчик барьерный, S=1 м, PNP, Dark-ON, 2 м;PS-FT3-PDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FT3-NLB2 Фотодатчик барьерный, S=1 м, NPN, Light-ON, 2 м;PS-FT3-NLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FT3-NDB2 Фотодатчик барьерный, S=1 м, NPN, Dark-ON, 2 м;PS-FT3-NDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FR2-PLB2 Фотодатчик диффузный, S=5-50 мм, PNP, Light-ON, 2 м;PS-FR2-PLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FR2-PDB2 Фотодатчик диффузный, S=5-50 мм, PNP, Dark-ON, 2 м;PS-FR2-PDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FR2-NLB2 Фотодатчик диффузный, S=5-50 мм, NPN, Light-ON, 2 м;PS-FR2-NLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FR2-NDB2 Фотодатчик диффузный, S=5-50 мм, NPN, Dark-ON, 2 м;PS-FR2-NDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FL3-PLB2 Фотодатчик рефлекторный, S=1 м, PNP, Light-ON, 2 м;PS-FL3-PLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
