name;article;product_code;availability;image
DT320CA-R211 - Температурный контроллер 48x48 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT320CA-R211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT320CA-R200 - Температурный контроллер 48x48 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT320CA-R200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT320CA-0200 - Температурный контроллер 48x48 мм, аналоговый выход (4…20 мА), питание 80-260В AC;DT320CA-0200;DT320CA-0200;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT320CA - Температурный контроллер 48x48 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT320CA;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT320VA-V200 - Температурный контроллер 48x48 мм, два выхода импульсного напряжения (12 В);DT320VA-V200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-BDV - Кассета на 4 импульсных выхода (транзистор 12 В) для термоконтроллеров DTM;DTM-BDV;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-BDR - Кассета на 4 релейных выхода (2 А на контакт) для термоконтроллеров DTM;DTM-BDR;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-BDL - Кассета на 4 потенциальных выхода (0 - 10 В) для термоконтроллеров DTM;DTM-BDL;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-DOV - Модуль расширения на 8 импульсных выходов (транзистор 12 В) для термоконтроллеров DTM;DTM-DOV;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-DOR - Модуль расширения на 8 релейных выходов (2 А на контакт) для термоконтроллеров DTM;DTM-DOR;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-DOL - Модуль расширения на 8 потенциальных выходов (0 - 10 В) для термоконтроллеров DTM;DTM-DOL;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-DOC - Модуль расширения на 8 токовых выходов (4 - 20 мА) для термоконтроллеров DTM;DTM-DOC;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-CT030 - Модуль для подключения 8 измерительных трансформаторов тока DT3-CT30A/DT3-CT100A;DTM-CT030;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN08 - Термоконтроллер модуль, 8 измерительных универсальных входов, 2 слота под выходы;DTMN08;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN04 - Термоконтроллер модуль, 4 измерительных универсальных входа, 2 слота под выходы;DTMN04;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN02-V - Термоконтроллер модуль, 2 измерительных универсальных входа, 4 импульсных выхода;DTMN02-V;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN02-R - Термоконтроллер модуль, 2 измерительных универсальных входа, 4 релейных выхода;DTMN02-R;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN02-L - Термоконтроллер модуль, 2 измерительных универсальных входа, 4 потенциальных выхода;DTMN02-L;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMN02-C - Термоконтроллер модуль, 2 измерительных универсальных входа, 4 токовых выхода;DTMN02-C;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMR08 - Термоконтроллер ЦПУ, 8 измерительных универсальных входов, RS485, Modbus;DTMR08;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTMR04 - Термоконтроллер ЦПУ, 4 измерительных универсальных входа, RS485, Modbus, 2 слота под выходы;DTMR04;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTME08 - Термоконтроллер ЦПУ, 8 измерительных универсальных входов, RS485, Ethernet, Modbus;DTME08;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTME04 - Термоконтроллер ЦПУ, 4 измерительных универсальных входа, RS485, Ethernet, Modbus;DTME04;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DTM-BDC - Кассета на 4 токовых выхода (4 - 20 мА) для термоконтроллеров DTM;DTM-BDC;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHBP08E1-5A - Несущая рама под локальное расширение входов/выходов на 8 слотов;AHBP08E1-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHBP06M1-5A - Базовая несущая рама под CPU/RTU и модули на 6 слотов;AHBP06M1-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHBP06E1-5A - Несущая рама под локальное расширение входов/выходов на 6 слотов;AHBP06E1-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHBP04M1-5A - Базовая несущая рама под CPU/RTU и модули на 4 слота;AHBP04M1-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHASP01-5A - Муляж модуля расширения (для заполнения пустого места на раме);AHASP01-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHADINADP1-5A - Клипса для крепления рамы на ДИН-рейку (на 1 раму 2 клипсы);AHADINADP1-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABK0-5A - Кабель для АН500, 100 м;AHACABK0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABJ0-5A - Кабель для АН500, 90 м;AHACABJ0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABH0-5A - Кабель для АН500, 80 м;AHACABH0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABG0-5A - Кабель для АН500, 70 м;AHACABG0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABF0-5A - Кабель для АН500, 60 м;AHACABF0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABE0-5A - Кабель для АН500, 50 м;AHACABE0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABD0-5A - Кабель для АН500, 40 м;AHACABD0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABC0-5A - Кабель для АН500, 30 м;AHACABC0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABB0-5A - Кабель для АН500, 20 м;AHACABB0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABA5-5A - Кабель для АН500, 15 м;AHACABA5-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACABA0-5A - Кабель для АН500, 10 м;AHACABA0-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACAB50-5A - Кабель для АН500, 5 м;AHACAB50-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACAB30-5A - Кабель для соединения базы и расширения локальных входов/выходов, длина 3,0 м;AHACAB30-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACAB15-5A - Кабель для соединения базы и расширения локальных входов/выходов, длина 1,5 м;AHACAB15-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AHACAB10-5A - Кабель для соединения базы и расширения локальных входов/выходов, длина 1,0 м;AHACAB10-5A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
